framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
CatBoost,f1_macro,0.9129327900737824,0.0017034237996942528,0.9095940794263816,0.9162715007211831,0.9116769870639064,0.9142820514199625,5
CatBoost,accuracy,0.9182429514467272,0.0017031097496406316,0.9149048563374316,0.9215810465560228,0.9170152384477761,0.9196063915108891,5
CatBoost,roc_auc_ovr,0.981655658329006,0.0006462367173877147,0.9803890343629261,0.9829222822950859,0.9811905262363567,0.9821531782580056,5
CatBoost,avg_precision_ovr,0.968394443414868,0.0010952521687999013,0.9662477491640202,0.9705411376657158,0.9676369801052932,0.9692690521443051,5
feature_ablation_xgboost_baseline,accuracy,0.9235918316984393,0.0024748879244289824,0.9187410513665585,0.9284426120303201,0.9217471774939847,0.925516688259609,5
feature_ablation_xgboost_baseline,fit_time_sec,4.09275540819799,0.13337928340931743,3.831332012715728,4.354178803680252,3.9954645665973656,4.193974282569251,5
feature_ablation_xgboost_baseline,predict_time_sec,0.1287434665980981,0.04375543804649441,0.04298280802696905,0.21450412516922715,0.09924457499873818,0.1674159747984958,5
automl_suite_flaml,accuracy,0.9224443210562034,0.0023527229007228494,0.9178329841707866,0.9270556579416203,0.9207045468566847,0.9241867172558456,5
automl_suite_flaml,fit_time_sec,103.13989917500294,54.8643687433873,-4.394263562036173,210.67406191204205,60.7580695334007,145.91157370840955,5
automl_suite_flaml,predict_time_sec,0.17965862480050415,0.027150643933540698,0.1264433626907644,0.2328738869102439,0.1607691577955847,0.2042752164037665,5
XGBoost,f1_macro,0.9162481913481033,0.0026976838108452444,0.9109607310788467,0.92153565161736,0.914312558087515,0.9183622774173066,5
XGBoost,accuracy,0.9233018693318525,0.0025005723768616404,0.9184007474732038,0.9282029911905013,0.9215312480720588,0.9252575729532975,5
XGBoost,roc_auc_ovr,0.9820742311277464,0.0006728914411420091,0.980755363903108,0.9833930983523848,0.9815542390280303,0.9825840218066186,5
XGBoost,avg_precision_ovr,0.9695287362493273,0.0011228662526153327,0.9673279183942013,0.9717295541044534,0.96870289643727,0.9703976311038589,5
H2O_AutoML,f1_macro,0.9152358880120554,0.0020102205592189893,0.9112958557159861,0.9191759203081246,0.9136844248304061,0.9167510677460846,5
H2O_AutoML,accuracy,0.9218872697319378,0.0024171867638728035,0.9171495836747471,0.9266249557891285,0.9197260781047566,0.9235795860429367,5
H2O_AutoML,roc_auc_ovr,0.9819972168966675,0.0004807902548355124,0.9810548679971899,0.9829395657961452,0.9816277263290615,0.9823616426167826,5
H2O_AutoML,avg_precision_ovr,0.969268853068967,0.0008385496074675539,0.9676252958383307,0.9709124102996034,0.9686422858590348,0.9698808191028473,5
boosting_suite_xgboost_baseline,accuracy,0.9236195940526868,0.00201321285437446,0.9196736968581128,0.9275654912472607,0.9224966839410205,0.9248998241717566,10
boosting_suite_xgboost_baseline,fit_time_sec,4.38767588329938,0.35479050441833115,3.692286494639451,5.083065271959309,4.199138753099214,4.610732945170275,10
boosting_suite_xgboost_baseline,predict_time_sec,0.13563753329945027,0.030180136863943167,0.07648446504612166,0.19479060155277889,0.11660768703713979,0.15338862635202527,10
boosting_suite_lightgbm_baseline,accuracy,0.9238509470047503,0.002125598978696663,0.9196847730065049,0.9280171210029958,0.9226690418903077,0.925235980011105,10
boosting_suite_lightgbm_baseline,fit_time_sec,4.3478373919002475,0.17037143155836953,4.013909386045843,4.681765397754652,4.246210404327103,4.445249266239917,10
boosting_suite_lightgbm_baseline,predict_time_sec,0.17014865829696646,0.019568661836173114,0.13179408109806717,0.20850323549586575,0.15852018917496025,0.18172046205214426,10
FLAML,f1_macro,0.9132464982513714,0.0,0.9132464982513714,0.9132464982513714,0.9132464982513714,0.9132464982513714,1
FLAML,accuracy,0.920599666851749,0.0,0.920599666851749,0.920599666851749,0.920599666851749,0.920599666851749,1
FLAML,roc_auc_ovr,0.981376876104427,0.0,0.981376876104427,0.981376876104427,0.981376876104427,0.981376876104427,1
FLAML,avg_precision_ovr,0.968499362801243,0.0,0.968499362801243,0.968499362801243,0.968499362801243,0.968499362801243,1
boosting_suite_catboost_baseline,accuracy,0.9236473564069343,0.0017566762117544666,0.9202042710318955,0.9270904417819731,0.922635110124005,0.9247331729286199,10
boosting_suite_catboost_baseline,fit_time_sec,7.141541241601226,0.2059905753418925,6.737799713931117,7.545282769271336,7.041818434440465,7.283513972965447,10
boosting_suite_catboost_baseline,predict_time_sec,0.06662877079943423,0.018071298482953572,0.031209025772845227,0.10204851582602323,0.05735314318855668,0.07764256298625691,10
LightGBM,f1_macro,0.9163772556793122,0.0025916187778690022,0.9112976828746889,0.9214568284839354,0.9144418180207495,0.9183126933378748,5
LightGBM,accuracy,0.9232956999197978,0.002416390246092115,0.9185595750374572,0.9280318248021383,0.9214818927756185,0.9251095070639769,5
LightGBM,roc_auc_ovr,0.9825530395420532,0.0007378307823001333,0.981106891208745,0.9839991878753614,0.9820306165999226,0.9830832223710498,5
LightGBM,avg_precision_ovr,0.9704249001361849,0.0013458048719250297,0.9677871225872118,0.973062677685158,0.9694479534970092,0.9714005746626995,5
