row_index,anomaly_score
131,0.030201357809657936
117,0.016123168780852515
41,0.012237125919428826
13,0.012080803708943488
106,0.0007332070103405197
15,-0.0008268079052775601
118,-0.003978505254332854
109,-0.00621349196061316
14,-0.0274920404010931
60,-0.028611868944018126
22,-0.047682463535494435
122,-0.05113057741072757
119,-0.05378813568344354
98,-0.05660563486320391
18,-0.05736131905702413
105,-0.058510219353740456
32,-0.06394298927194608
100,-0.06488129613773608
44,-0.06707932912985748
33,-0.06975719721931528
16,-0.07005916561466619
57,-0.07129866506778426
134,-0.07292757417735984
43,-0.07478430088280374
62,-0.0751284535059743
23,-0.08024293670401461
135,-0.08028938234662475
93,-0.08056734371725438
50,-0.08061810282000659
114,-0.08401146291884698
5,-0.08476604800931342
8,-0.0866059485824171
107,-0.0868851332007261
136,-0.09167568832057937
24,-0.09191583516038637
129,-0.09195117147607124
148,-0.09295010913308044
130,-0.09490598871526656
144,-0.0956871781000912
77,-0.09616096463727086
113,-0.09673490701789544
68,-0.10237677368188947
125,-0.10280300933261366
108,-0.10377286230999172
70,-0.1042044615761818
121,-0.10618130931495867
52,-0.10718937606858697
38,-0.10730629186277635
42,-0.10970726540648401
85,-0.10998215412187629
