row_index,anomaly_score
12447,0.1474836522028211
12430,0.14733959524132567
11862,0.14707891434858922
11849,0.14559337158059904
3258,0.14133438609648763
1102,0.1387361714399249
1914,0.1386141225619002
19006,0.13854634748593464
13034,0.13350678340900768
11707,0.13155626402888987
19736,0.13060704507533127
1926,0.1273955400745561
1913,0.12612309495235763
3350,0.12578949589559718
11832,0.12577167442641335
16171,0.12520580184183405
11716,0.12519391713145023
11866,0.12474186434578982
2511,0.12416998131869783
16669,0.12163498107668425
10083,0.12020739657516744
1867,0.12014268100384762
12390,0.11750838756827164
1979,0.11737641346017624
1872,0.11702035617826823
10080,0.116157212185518
1912,0.11256907456569998
12344,0.10983559820301358
10405,0.10898345035990542
18681,0.10857811679562546
10079,0.10855833019790617
1566,0.10784949349580908
13979,0.10767140502208605
11713,0.1072435762197459
12394,0.10683140149719084
1240,0.1051451687449444
11708,0.10490341753956622
19802,0.10430347658618955
10081,0.10416067376908666
2395,0.10405591458626806
9676,0.10393950605053803
18858,0.10233388408570099
10082,0.10223377786411614
11725,0.10182365609675681
3086,0.1012172300783839
13965,0.10117735627821034
11706,0.09874419147163105
11714,0.09848558192463308
1024,0.09842286223692709
13971,0.09812408432509478
