row_index,anomaly_score
20,0.014431725762804826
19,0.00419898855202272
0,-0.02050094410693437
23,-0.022391744312680095
21,-0.0385635951687483
22,-0.04454964212388368
15,-0.054761398799830996
8,-0.06369611782235873
1,-0.07070034655701585
14,-0.07813005604455447
13,-0.08216478709566366
2,-0.08719801024127383
4,-0.10034865607725385
17,-0.10518103837522164
11,-0.10641348862190003
6,-0.10866976807008033
12,-0.11206998281401626
7,-0.12278646271225313
18,-0.1234446155869855
3,-0.1362821374259564
5,-0.13792688299642852
16,-0.15126573436303292
10,-0.1589310601556248
9,-0.20718393872103424
32,-0.31984758522522316
38,-0.31984758522522316
37,-0.31984758522522316
36,-0.31984758522522316
35,-0.31984758522522316
34,-0.31984758522522316
33,-0.31984758522522316
30,-0.31984758522522316
31,-0.31984758522522316
29,-0.31984758522522316
28,-0.31984758522522316
27,-0.31984758522522316
26,-0.31984758522522316
25,-0.31984758522522316
24,-0.31984758522522316
39,-0.31984758522522316
