row_index,anomaly_score
108,0.006787677686534488
111,0.0029183368751170558
4,0.0020871984523904707
122,0.002013326921602332
152,0.0006623037068530513
107,0.0001852414416863568
153,-0.00031541110341187784
72,-0.0011863605826469281
98,-0.0013422769226390519
112,-0.0013984501070161137
138,-0.0017757770560680175
113,-0.0020017771047957655
31,-0.002582908770011827
23,-0.0028128533891252916
121,-0.00283249940457847
58,-0.0028659310371726976
70,-0.0031411004633349338
79,-0.003209904829946375
151,-0.0033468323300506753
57,-0.0034717062252433983
35,-0.0037485389476482056
88,-0.003817026182504235
56,-0.004174037968303512
118,-0.004227683470485244
6,-0.004295662530689248
159,-0.004399666088078624
47,-0.004451343508445893
177,-0.0045160635804229465
84,-0.004635221747079921
164,-0.004744785494000314
45,-0.0049282461181187065
50,-0.004996506929410616
8,-0.005145162309874496
11,-0.005177660542825202
103,-0.00527810799827777
67,-0.005488570580120367
131,-0.005494770091793166
135,-0.005506177272602442
94,-0.005603042122272861
101,-0.005655179095194474
30,-0.005732191174032897
18,-0.005732498997383595
28,-0.005765858375257116
110,-0.005833104627994468
32,-0.005922267642234913
102,-0.005931527936365366
34,-0.006149336964241803
26,-0.006177871300170168
174,-0.006266446992102215
105,-0.006411592825408929
