framework_a,framework_b,metric,diff,t_stat,p_value,boot_ci_low,boot_ci_high
CatBoost,XGBoost,f1_macro,-0.029409627090285273,-1.5246818280731924,0.20202327542492562,-0.06274328413861281,0.0036255726627133066
CatBoost,XGBoost,accuracy,-0.16999999999999993,-5.8395457858681725,0.004287112779984103,-0.21999999999999997,-0.11599999999999996
CatBoost,automl_suite_autogluon,accuracy,-0.1449999999999999,-5.570745940365914,0.005087678395880424,-0.18802499999999994,-0.09599999999999995
CatBoost,H2O_AutoML,f1_macro,-0.009254460629353978,-0.4978610011382894,0.6447094653165191,-0.0415690699305681,0.025839132739600236
CatBoost,H2O_AutoML,accuracy,-0.11852075471698098,-2.633379021833502,0.05798067665886571,-0.18841801886792447,-0.030600000000000026
CatBoost,LightGBM,f1_macro,-0.01548691032704308,-0.6942022255479563,0.5257648133676287,-0.049132134337540136,0.025911904509461667
CatBoost,LightGBM,accuracy,-0.15999999999999992,-5.665713854372088,0.0047854287808341885,-0.20599999999999996,-0.10699999999999996
CatBoost,leaderboard,f1_macro,-0.009254460629353978,-0.4978610011382894,0.6447094653165191,-0.0415690699305681,0.025839132739600236
CatBoost,leaderboard,accuracy,-0.11852075471698098,-2.633379021833502,0.05798067665886571,-0.18841801886792447,-0.030600000000000026
XGBoost,automl_suite_autogluon,accuracy,0.025000000000000022,7.0710678118654755,0.0021106458450912712,0.019000000000000017,0.031000000000000028
XGBoost,H2O_AutoML,f1_macro,0.020155166460931295,1.3781788949860925,0.2402176396777184,-0.006850769407781243,0.04163234256756867
XGBoost,H2O_AutoML,accuracy,0.05147924528301895,1.9383699738064943,0.12461054045220553,0.01140000000000001,0.10107924528301881
XGBoost,LightGBM,f1_macro,0.013922716763242193,1.1770642583324225,0.3044277360040282,-0.007023211619878933,0.034978284447011634
XGBoost,LightGBM,accuracy,0.010000000000000009,2.1081851067789197,0.1027004274955118,0.0020000000000000018,0.019000000000000017
XGBoost,leaderboard,f1_macro,0.020155166460931295,1.3781788949860925,0.2402176396777184,-0.006850769407781243,0.04163234256756867
XGBoost,leaderboard,accuracy,0.05147924528301895,1.9383699738064943,0.12461054045220553,0.01140000000000001,0.10107924528301881
automl_suite_autogluon,H2O_AutoML,accuracy,0.026479245283018926,0.924228969264274,0.407675211079513,-0.015600000000000013,0.0830792452830188
automl_suite_autogluon,LightGBM,accuracy,-0.015000000000000013,-4.242640687119285,0.013235599563682695,-0.02100000000000002,-0.009000000000000008
automl_suite_autogluon,leaderboard,accuracy,0.026479245283018926,0.924228969264274,0.407675211079513,-0.015600000000000013,0.0830792452830188
H2O_AutoML,LightGBM,f1_macro,-0.006232449697689102,-0.3414938037566956,0.749917482920571,-0.037051224951123826,0.025064579335135152
H2O_AutoML,LightGBM,accuracy,-0.04147924528301894,-1.4101540629875842,0.23130714314846582,-0.09810424528301881,0.0026249999999999798
H2O_AutoML,leaderboard,f1_macro,0.0,,,0.0,0.0
H2O_AutoML,leaderboard,accuracy,0.0,,,0.0,0.0
LightGBM,leaderboard,f1_macro,0.006232449697689102,0.3414938037566956,0.749917482920571,-0.025064579335135152,0.037051224951123826
LightGBM,leaderboard,accuracy,0.04147924528301894,1.4101540629875842,0.23130714314846582,-0.002625000000000001,0.0981042452830188
