row_index,anomaly_score
850,0.03891909818716921
374,0.03613659577594297
915,0.03194342648003301
972,0.030422212755024436
889,0.030063875833433507
613,0.02591748663218718
186,0.024237494016629224
429,0.024033668567430277
272,0.020623945773891816
721,0.018726175583392735
117,0.016190647195359453
774,0.014816392102372733
561,0.014674300001872198
226,0.013139396097883282
156,0.012386086850833422
859,0.011828768832512382
496,0.010226672652947744
756,0.007711935241737744
59,0.007642779553685419
247,0.007556771101826176
175,0.007415884405075124
55,0.006911045619489409
876,0.00534397545098253
99,0.005258924407648413
808,0.003922328394659891
310,0.0038377602675648825
191,0.002519676053821196
665,0.0010406915876093326
333,0.0005329238282817395
140,6.585094387878687e-05
237,-2.0366271302751926e-06
927,-0.0019351163527903115
801,-0.003516657007620272
44,-0.0035488902910691955
294,-0.0037207106953809355
735,-0.004441340566868512
449,-0.0060334922332174745
906,-0.006428883511688799
287,-0.008017463856487161
373,-0.008254255371166308
946,-0.008444384644615721
268,-0.0084737883181778
375,-0.00877376703849675
818,-0.00888767570780169
413,-0.009339177569005597
595,-0.010394237358112957
138,-0.011857856926388188
674,-0.011921855792481395
431,-0.012384240779762856
950,-0.013997584847650235
